,cast,genre,actor_genre_count
29478,Yuichi Nakamura,Teen,5
29470,Ai Kayano,Teen,5
29469,Takahiro Sakurai,Teen,5
58798,Gulshan Grover,Music,9
30090,Anil Kapoor,Music,8
3382,Akshay Kumar,Music,7
26844,Michelle Williams,Romantic,9
8488,Michelle Yeoh,Romantic,9
68701,Akshay Kumar,Romantic,8
11850,Jay Baruchel,Sports,6
105148,Burt Young,Sports,5
105146,Sylvester Stallone,Sports,4
14849,David Attenborough,British,26
1299,Kate Harbour,British,11
23066,Justin Fletcher,British,10
58807,Gulshan Grover,Musicals,9
30098,Anil Kapoor,Musicals,8
3392,Akshay Kumar,Musicals,7
23495,Gardo Versoza,LGBTQ,4
23494,Luz Valdez,LGBTQ,4
23493,Armida Siguion-Reyna,LGBTQ,4
1484,Shah Rukh Khan,Dramas,30
10300,Anupam Kher,Dramas,29
3521,Naseeruddin Shah,Dramas,28
14419,Nicolas Cage,Thrillers,13
24782,Alfred Molina,Thrillers,12
1582,Jennifer Jason Leigh,Thrillers,12
19064,Carmen Villalobos,Spanish-Language,10
19065,Catherine Siachoque,Spanish-Language,9
19066,Fabián Ríos,Spanish-Language,9
34131,Donnie Yen,Action,21
1981,Bruce Willis,Action,20
26946,Iko Uwais,Action,20
59175,David Attenborough,Science,17
68786,Bob Brisbane,Science,3
17994,Thomas Padley,Science,2
47228,Jeff Dunham,Stand-Up Comedy,8
25842,Kevin Hart,Stand-Up Comedy,7
53814,Bill Burr,Stand-Up Comedy,6
17565,Sophie Kennedy Clark,Independent,14
84712,Shia LaBeouf,Independent,13
23633,Jennifer Ehle,Independent,12
71541,Sam Worthington,Sci-Fi,11
8769,Anton Yelchin,Sci-Fi,11
93286,Nicolas Cage,Sci-Fi,10
3043,Anupam Kher,International,41
1493,Shah Rukh Khan,International,34
16732,Boman Irani,International,29
110550,Ait Youssef Youssef,Faith,6
110545,Selva Rasalingam,Faith,6
110549,Abdelaziz N'Mila,Faith,6
71581,John Dunsworth,Cult,6
8027,Alison Pill,Cult,6
8019,Chris Evans,Cult,6
68510,Gilles Marini,Reality,6
68507,Qinyi Du,Reality,6
68524,Sylvester Stallone,Reality,6
92216,Ali Larter,Horror,9
50126,Lorenza Izzo,Horror,9
9133,Wentworth Miller,Horror,9
54925,Yoon Du-jun,Korean,4
47406,Sung Dong-il,Korean,4
43339,Jeon Seok-ho,Korean,4
14850,David Attenborough,Docuseries,28
87646,Linor Abargil,Docuseries,4
43531,David Chang,Docuseries,3
40141,Raúl Mendez,Crime,9
49485,Kate del Castillo,Crime,8
58491,Damián Alcázar,Crime,7
18790,Tara Strong,Family,26
5267,John Cleese,Family,18
16407,George Lopez,Family,16
12586,Takahiro Sakurai,Anime,28
9504,Yuki Kaji,Anime,27
863,Daisuke Ono,Anime,21
110557,Ait Youssef Youssef,Spirituality,6
110552,Selva Rasalingam,Spirituality,6
110556,Abdelaziz N'Mila,Spirituality,6
4134,Tara Strong,Children,38
6735,Vincent Tong,Children,35
7423,Ashleigh Ball,Children,32
57345,Fortune Feimster,Talk,3
62909,Nazeem Hussain,Talk,2
70575,Russell Peters,Talk,2
71549,Sam Worthington,Fantasy,11
8781,Anton Yelchin,Fantasy,11
93296,Nicolas Cage,Fantasy,10
3799,Harvey Keitel,Classic,8
36408,Omar Sharif,Classic,6
2532,Robert De Niro,Classic,6
34139,Donnie Yen,Adventure,21
1989,Bruce Willis,Adventure,20
26954,Iko Uwais,Adventure,20
59176,David Attenborough,Nature,17
68787,Bob Brisbane,Nature,3
18006,Thomas Padley,Nature,2
22554,Danica Curcic,Mysteries,4
82093,Billy Campbell,Mysteries,4
103377,Rory Kinnear,Mysteries,3
106291,Samuel West,Documentaries,11
102184,Craig Sechler,Documentaries,6
74576,William Davis,Documentaries,5
5274,John Cleese,Comedies,27
18796,Tara Strong,Comedies,25
3036,Anupam Kher,Comedies,23
