,release_year,actor,actors_yearly_count
17260,2006,Anupam Kher,4
14138,2006,Paresh Rawal,4
14136,2006,Akshay Kumar,4
3267,2013,Rajesh Kava,6
16801,2013,Anupam Kher,6
3266,2013,Jigna Bhardwaj,6
48976,1983,Naseeruddin Shah,2
35901,1983,Tanuja,2
48974,1983,Shabana Azmi,2
14088,2004,Kareena Kapoor,4
22820,2004,Om Puri,3
434,2004,Kappei Yamaguchi,2
41736,1972,Jaya Bhaduri,2
41739,1972,Asrani,2
47930,1972,Dina Pathak,1
32705,2000,Karisma Kapoor,2
2786,2000,Donald Sutherland,2
39631,2000,Rene Auberjonois,2
34621,1986,Amrit Pal,2
2618,1986,Charlie Sheen,2
34613,1986,Mithun Chakraborty,2
19873,1984,Amrish Puri,2
19869,1984,Pran,2
1352,1984,Robert De Niro,1
19932,2005,Esha Deol,3
48741,2005,Salman Khan,3
19931,2005,Lara Dutta,3
19887,1980,Zeenat Aman,2
19888,1980,Prem Chopra,2
1458,1980,Brooke Shields,1
14101,2020,Keith Wickham,6
664,2020,Blossom Chukwujekwu,6
12129,2020,Dayci Brookshire,5
49365,1996,Kerrigan Mahan,2
1299,1996,Pierce Brosnan,2
1302,1996,Sarah Jessica Parker,2
45606,1979,Utpal Dutt,2
17417,1979,Ahmed Zaki,2
17408,1979,Naglaa Fathi,1
36938,1995,Shah Rukh Khan,3
36944,1995,Tinnu Anand,3
4510,1995,Joe Don Baker,2
3294,2012,Jigna Bhardwaj,4
3292,2012,Julie Tejwani,4
3295,2012,Rajesh Kava,4
43256,1993,Laura Linney,3
52453,1993,Ben Kingsley,2
1039,1993,John Lithgow,2
53064,1991,Daniel Gimenez Cacho,2
29688,1991,Sam Kinison,2
1145,1991,Christopher Reid,1
41741,1982,Farooq Shaikh,3
50012,1982,Ranjeet,2
50007,1982,Amitabh Bachchan,2
22201,2009,Fred Tatasciore,4
35374,2009,Elvin Ng,3
31184,2009,Kristen Schaal,3
416,2002,Kappei Yamaguchi,3
14146,2002,Ajay Devgn,3
418,2002,Mieko Harada,2
13299,2019,Vincent Tong,8
23331,2019,Alessandro Juliani,7
23492,2019,Kathleen Barr,7
6353,1997,Bill Bellamy,2
6306,1997,Siobhan Fallon Hogan,2
4441,1997,Dean Stockwell,2
45229,2010,Jonathan Rhys Meyers,3
2841,2010,Zoe Saldana,3
29207,2010,Gulshan Grover,3
21544,1999,Karisma Kapoor,3
10985,1999,Salman Khan,3
21552,1999,Alok Nath,3
3693,2021,Fortune Feimster,11
3691,2021,David Spade,10
3692,2021,London Hughes,10
36703,2015,James Franco,5
22686,2015,Ben Whishaw,4
31199,2015,Ramya Krishnan,4
16180,2016,Erin Fitzgerald,5
6746,2016,Daisuke Ono,5
34770,2016,Kim Coates,5
50221,2017,Craig Sechler,6
35243,2017,Fred Armisen,5
22934,2017,Mohammed Tharwat,5
1033,1994,Benjamin Bratt,2
18747,1994,Salman Khan,2
870,1994,Madhuri Dixit,2
2674,2014,Miyuki Sawashiro,5
34301,2014,Robb Wells,4
34299,2014,Mike Smith,4
2388,1985,Luis Brandoni,2
2394,1985,Juan Manuel Tenuta,2
51569,1985,Kulbhushan Kharbanda,2
2745,2008,Seth Rogen,5
1578,2008,Anupam Kher,4
14648,2008,Shreyas Talpade,3
51219,2011,Brittany Anne Pirtle,4
4574,2011,Seth Rogen,4
51218,2011,Najee De-Tiege,4
5424,1981,Toru Furuya,2
5426,1981,Hirotaka Suzuoki,2
5427,1981,Rumiko Ukai,2
38019,2007,Kathy Bates,3
14701,2007,Asrani,3
14696,2007,Paresh Rawal,3
52423,1955,Tina Pica,2
52419,1955,Vittorio De Sica,2
52420,1955,Sophia Loren,2
1447,2003,Monica Bellucci,3
53095,2003,Keanu Reeves,3
55378,2003,Hugo Weaving,3
4127,2018,Andrea Libman,8
6568,2018,Radhika Apte,7
13288,2018,Vincent Tong,6
19877,1998,Shah Rukh Khan,3
19883,1998,Gulshan Grover,2
15579,1998,Preity Zinta,2
19948,2001,Kareena Kapoor,3
19945,2001,Shah Rukh Khan,3
6481,2001,Sam Shepard,2
